id,station,date,prcp,tobs
338,USC00519397,1/8/11,0,62
339,USC00519397,1/9/11,0,58
340,USC00519397,1/10/11,0,73
341,USC00519397,1/11/11,0.09,60
342,USC00519397,1/13/11,,68
343,USC00519397,1/14/11,0.03,76
344,USC00519397,1/15/11,0,68
345,USC00519397,1/16/11,0,66
346,USC00519397,1/17/11,0,64
347,USC00519397,1/18/11,0,64
348,USC00519397,1/19/11,0.03,64
349,USC00519397,1/20/11,0,76
350,USC00519397,1/21/11,0,75
351,USC00519397,1/22/11,0,68
352,USC00519397,1/23/11,0,68
353,USC00519397,1/24/11,0,72
354,USC00519397,1/25/11,0,63
355,USC00519397,1/27/11,0,68
356,USC00519397,1/28/11,0,75
357,USC00519397,1/29/11,0,65
358,USC00519397,1/30/11,0,64
359,USC00519397,1/31/11,0.22,68
360,USC00519397,2/1/11,0,68
361,USC00519397,2/2/11,0,66
362,USC00519397,2/3/11,0,67
363,USC00519397,2/4/11,0,64
364,USC00519397,2/5/11,0,65
365,USC00519397,2/6/11,0,75
366,USC00519397,2/7/11,1.29,68
367,USC00519397,2/8/11,1.3,71
368,USC00519397,2/9/11,0,71
369,USC00519397,2/10/11,0.29,71
370,USC00519397,2/12/11,,68
371,USC00519397,2/13/11,0,68
372,USC00519397,2/14/11,0.04,72
373,USC00519397,2/15/11,0.05,70
374,USC00519397,2/16/11,0,74
375,USC00519397,2/19/11,0,67
376,USC00519397,2/20/11,1.72,71
377,USC00519397,2/21/11,0,71
378,USC00519397,2/22/11,0.82,71
379,USC00519397,2/23/11,0,74
380,USC00519397,2/24/11,0.2,68
381,USC00519397,2/25/11,0,71
382,USC00519397,2/26/11,0,69
383,USC00519397,2/27/11,0,69
384,USC00519397,2/28/11,0,68
385,USC00519397,3/1/11,0.1,68
386,USC00519397,3/2/11,0,72
387,USC00519397,3/3/11,0,74
388,USC00519397,3/4/11,0.88,72
389,USC00519397,3/5/11,0.4,69
390,USC00519397,3/6/11,0.03,70
391,USC00519397,3/8/11,,72
392,USC00519397,3/9/11,0.2,71
393,USC00519397,3/10/11,0.15,71
394,USC00519397,3/12/11,0,72
395,USC00519397,3/13/11,0,70
396,USC00519397,3/14/11,0,71
397,USC00519397,3/16/11,0,76
398,USC00519397,3/17/11,0.01,73
399,USC00519397,3/18/11,0.05,74
400,USC00519397,3/19/11,0.01,74
401,USC00519397,3/20/11,0.02,74
402,USC00519397,3/21/11,0,74
403,USC00519397,3/22/11,0.02,74
404,USC00519397,3/23/11,0,74
405,USC00519397,3/24/11,0.06,73
406,USC00519397,3/25/11,0,74
407,USC00519397,3/26/11,0,74
408,USC00519397,3/27/11,0,73
409,USC00519397,3/28/11,0.04,74
410,USC00519397,3/30/11,0,75
411,USC00519397,3/31/11,0,74
412,USC00519397,4/1/11,0.05,74
413,USC00519397,4/2/11,0.04,75
414,USC00519397,4/3/11,0,74
415,USC00519397,4/4/11,0,75
416,USC00519397,4/5/11,0,74
417,USC00519397,4/6/11,0.09,70
418,USC00519397,4/7/11,1.11,70
419,USC00519397,4/8/11,0.36,70
420,USC00519397,4/9/11,0.02,76
421,USC00519397,4/10/11,0,76
422,USC00519397,4/11/11,0,76
423,USC00519397,4/12/11,0,76
424,USC00519397,4/13/11,0,70
425,USC00519397,4/15/11,0,77
426,USC00519397,4/16/11,0.12,74
427,USC00519397,4/17/11,0,73
428,USC00519397,4/18/11,0,76
429,USC00519397,4/19/11,0,76
430,USC00519397,4/20/11,0,74
431,USC00519397,4/21/11,0,77
432,USC00519397,4/22/11,0,77
433,USC00519397,4/23/11,0,78
434,USC00519397,4/24/11,0,77
435,USC00519397,4/25/11,0,77
436,USC00519397,4/26/11,0,76
437,USC00519397,4/27/11,0,77
438,USC00519397,4/29/11,0,78
439,USC00519397,4/30/11,0.04,76
440,USC00519397,5/1/11,0,77
441,USC00519397,5/2/11,0,77
442,USC00519397,5/3/11,2.1,70
443,USC00519397,5/4/11,0.02,76
444,USC00519397,5/5/11,0.12,74
445,USC00519397,5/6/11,0.12,72
446,USC00519397,5/7/11,0.55,74
447,USC00519397,5/8/11,0.55,73
448,USC00519397,5/9/11,0.02,75
449,USC00519397,5/10/11,0.11,75
450,USC00519397,5/11/11,0.1,75
451,USC00519397,5/12/11,0,76
452,USC00519397,5/13/11,0,77
453,USC00519397,5/14/11,0,78
454,USC00519397,5/15/11,0,77
455,USC00519397,5/16/11,0,78
456,USC00519397,5/17/11,0,77
457,USC00519397,5/18/11,0,76
458,USC00519397,5/19/11,0.01,77
459,USC00519397,5/20/11,0,79
460,USC00519397,5/21/11,0,77
461,USC00519397,5/22/11,0.06,74
462,USC00519397,5/23/11,0.02,78
463,USC00519397,5/24/11,0,77
464,USC00519397,5/25/11,0,79
465,USC00519397,5/26/11,0,78
466,USC00519397,5/27/11,0,78
467,USC00519397,5/28/11,0,77
468,USC00519397,5/29/11,0,78
469,USC00519397,5/30/11,0,78
470,USC00519397,5/31/11,0.05,73
471,USC00519397,6/1/11,0.07,77
472,USC00519397,6/2/11,0,78
473,USC00519397,6/3/11,0.56,73
474,USC00519397,6/4/11,0.89,70
475,USC00519397,6/5/11,0,76
476,USC00519397,6/6/11,0,77
477,USC00519397,6/7/11,0,77
478,USC00519397,6/8/11,0.03,77
479,USC00519397,6/9/11,0.01,77
480,USC00519397,6/10/11,0,78
481,USC00519397,6/11/11,0,77
482,USC00519397,6/12/11,0,77
483,USC00519397,6/13/11,0,78
484,USC00519397,6/14/11,0,78
485,USC00519397,6/15/11,0,77
486,USC00519397,6/17/11,0,78
487,USC00519397,6/18/11,0,78
488,USC00519397,6/19/11,0.05,75
489,USC00519397,6/20/11,0.06,76
490,USC00519397,6/21/11,0.07,76
491,USC00519397,6/24/11,,77
492,USC00519397,6/25/11,0,78
493,USC00519397,6/26/11,0,76
494,USC00519397,6/27/11,0.01,77
495,USC00519397,6/28/11,0.01,75
496,USC00519397,6/29/11,0,77
497,USC00519397,7/1/11,0.05,77
498,USC00519397,7/2/11,0.02,78
499,USC00519397,7/3/11,0,78
500,USC00519397,7/4/11,0,78
501,USC00519397,7/5/11,0.01,78
502,USC00519397,7/6/11,0.01,76
503,USC00519397,7/7/11,0.01,76
504,USC00519397,7/8/11,0,77
505,USC00519397,7/9/11,0.03,77
506,USC00519397,7/10/11,0.02,77
507,USC00519397,7/11/11,0,78
508,USC00519397,7/12/11,0,77
509,USC00519397,7/13/11,0.15,73
510,USC00519397,7/14/11,0,77
511,USC00519397,7/15/11,0,79
512,USC00519397,7/16/11,0,78
513,USC00519397,7/17/11,0.04,77
514,USC00519397,7/18/11,0,78
515,USC00519397,7/19/11,0,78
516,USC00519397,7/20/11,0,76
517,USC00519397,7/21/11,0.03,77
518,USC00519397,7/23/11,0,78
519,USC00519397,7/24/11,0,77
520,USC00519397,7/25/11,0,78
521,USC00519397,7/26/11,0,78
522,USC00519397,7/27/11,0.04,77
523,USC00519397,7/28/11,0.09,77
524,USC00519397,7/29/11,0.04,78
525,USC00519397,7/30/11,0.12,80
526,USC00519397,7/31/11,0,77
527,USC00519397,8/1/11,0,78
528,USC00519397,8/2/11,0,77
529,USC00519397,8/3/11,0,78
530,USC00519397,8/4/11,0.02,76
531,USC00519397,8/5/11,0.03,78
532,USC00519397,8/6/11,0.01,77
533,USC00519397,8/7/11,0,78
534,USC00519397,8/8/11,0,78
535,USC00519397,8/9/11,0,79
536,USC00519397,8/11/11,0,78
537,USC00519397,8/12/11,0,78
538,USC00519397,8/13/11,0,76
539,USC00519397,8/14/11,0,78
540,USC00519397,8/15/11,0,77
541,USC00519397,8/16/11,0,79
542,USC00519397,8/17/11,0.02,77
543,USC00519397,8/18/11,0,77
544,USC00519397,8/19/11,0,78
545,USC00519397,8/20/11,0.07,77
546,USC00519397,8/21/11,0,77
547,USC00519397,8/22/11,0,78
548,USC00519397,8/23/11,0,78
549,USC00519397,8/24/11,0,79
550,USC00519397,8/25/11,0,78
551,USC00519397,8/26/11,0,78
552,USC00519397,8/27/11,0,79
553,USC00519397,8/28/11,0.05,76
554,USC00519397,8/29/11,0.1,76
555,USC00519397,8/30/11,0.02,78
556,USC00519397,8/31/11,0,79
557,USC00519397,9/2/11,0,79
558,USC00519397,9/3/11,0,78
559,USC00519397,9/4/11,0.03,77
560,USC00519397,9/5/11,0,77
561,USC00519397,9/6/11,0,73
562,USC00519397,9/7/11,0,73
563,USC00519397,9/8/11,0,77
564,USC00519397,9/9/11,0,79
565,USC00519397,9/10/11,0,77
566,USC00519397,9/11/11,0,77
567,USC00519397,9/12/11,0,85
568,USC00519397,9/13/11,0.01,77
569,USC00519397,9/14/11,0,76
570,USC00519397,9/15/11,0,79
571,USC00519397,9/16/11,0,79
572,USC00519397,9/17/11,0.02,77
573,USC00519397,9/18/11,0.04,77
574,USC00519397,9/19/11,0,82
575,USC00519397,9/20/11,0,80
576,USC00519397,9/21/11,0,79
577,USC00519397,9/22/11,0.03,78
578,USC00519397,9/23/11,0,76
579,USC00519397,9/24/11,0,77
580,USC00519397,9/25/11,0,74
581,USC00519397,9/26/11,0,77
582,USC00519397,9/27/11,0,78
583,USC00519397,9/28/11,0,77
584,USC00519397,10/1/11,0,78
585,USC00519397,10/2/11,0,78
586,USC00519397,10/3/11,0,80
587,USC00519397,10/5/11,,79
588,USC00519397,10/6/11,0,75
589,USC00519397,10/7/11,0.03,78
590,USC00519397,10/8/11,0,79
591,USC00519397,10/9/11,0,78
592,USC00519397,10/10/11,0.02,77
593,USC00519397,10/11/11,0.03,78
594,USC00519397,10/12/11,0,77
595,USC00519397,10/13/11,0,77
596,USC00519397,10/14/11,0.03,78
597,USC00519397,10/15/11,0.02,77
598,USC00519397,10/16/11,0,76
599,USC00519397,10/17/11,0.02,77
600,USC00519397,10/18/11,0.01,76
601,USC00519397,10/19/11,0,74
602,USC00519397,10/20/11,0,78
603,USC00519397,10/21/11,0,76
604,USC00519397,10/22/11,0,77
605,USC00519397,10/23/11,0,75
606,USC00519397,10/24/11,0.14,74
607,USC00519397,10/25/11,1.6,77
608,USC00519397,10/26/11,0.01,76
609,USC00519397,10/27/11,0,77
610,USC00519397,10/28/11,0.05,73
611,USC00519397,10/29/11,0.01,76
612,USC00519397,10/30/11,0,75
613,USC00519397,10/31/11,0.03,76
614,USC00519397,11/1/11,0.58,71
615,USC00519397,11/2/11,0.28,77
616,USC00519397,11/3/11,0.02,77
617,USC00519397,11/4/11,0.01,75
618,USC00519397,11/5/11,0,76
619,USC00519397,11/6/11,0,77
620,USC00519397,11/7/11,0,78
621,USC00519397,11/8/11,0,76
622,USC00519397,11/9/11,0.02,76
623,USC00519397,11/10/11,0,76
624,USC00519397,11/11/11,0.05,74
625,USC00519397,11/12/11,0,75
626,USC00519397,11/13/11,0,76
627,USC00519397,11/14/11,0,73
628,USC00519397,11/15/11,0,71
629,USC00519397,11/16/11,0,75
630,USC00519397,11/17/11,0,76
631,USC00519397,11/18/11,0,78
632,USC00519397,11/19/11,0,76
633,USC00519397,11/20/11,0,75
634,USC00519397,11/21/11,0.01,76
635,USC00519397,11/22/11,0.02,73
636,USC00519397,11/23/11,0.01,75
637,USC00519397,11/24/11,0,73
638,USC00519397,11/25/11,0.01,70
639,USC00519397,11/26/11,0.02,75
640,USC00519397,11/27/11,0.07,73
641,USC00519397,11/28/11,0,72
642,USC00519397,11/29/11,0,72
643,USC00519397,11/30/11,0.02,66
644,USC00519397,12/1/11,0.03,69
645,USC00519397,12/2/11,0.08,68
646,USC00519397,12/3/11,0,73
647,USC00519397,12/4/11,0,74
648,USC00519397,12/5/11,0,73
649,USC00519397,12/6/11,0,73
650,USC00519397,12/7/11,0,73
651,USC00519397,12/8/11,0,73
652,USC00519397,12/9/11,0.13,71
653,USC00519397,12/10/11,0.07,73
654,USC00519397,12/11/11,0.07,73
655,USC00519397,12/12/11,0.08,77
656,USC00519397,12/13/11,0.4,72
657,USC00519397,12/14/11,0.7,71
658,USC00519397,12/15/11,0,73
659,USC00519397,12/16/11,0.01,70
660,USC00519397,12/17/11,0.07,73
661,USC00519397,12/18/11,0.02,69
662,USC00519397,12/19/11,0.15,74
663,USC00519397,12/20/11,0.02,72
664,USC00519397,12/21/11,0.18,71
665,USC00519397,12/22/11,0.03,72
666,USC00519397,12/23/11,0.04,72
667,USC00519397,12/24/11,0.1,70
668,USC00519397,12/25/11,0.03,73
669,USC00519397,12/26/11,0,73
670,USC00519397,12/27/11,0,72
671,USC00519397,12/28/11,0,73
672,USC00519397,12/29/11,0,73
673,USC00519397,12/30/11,0,72
674,USC00519397,12/31/11,0.01,63
675,USC00519397,1/1/12,0,63
676,USC00519397,1/2/12,0,66
677,USC00519397,1/3/12,0,66
678,USC00519397,1/4/12,0,74
679,USC00519397,1/6/12,0,71
680,USC00519397,1/7/12,0,65
681,USC00519397,1/8/12,0,61
682,USC00519397,1/10/12,0,71
683,USC00519397,1/11/12,0,65
684,USC00519397,1/12/12,0,66
685,USC00519397,1/14/12,0,61
686,USC00519397,1/15/12,0,74
687,USC00519397,1/16/12,0.04,75
688,USC00519397,1/17/12,0,75
689,USC00519397,1/18/12,0,75
690,USC00519397,1/19/12,0.02,68
691,USC00519397,1/20/12,0,73
692,USC00519397,1/21/12,0,74
693,USC00519397,1/22/12,0,74
694,USC00519397,1/23/12,0,67
695,USC00519397,1/24/12,0,66
696,USC00519397,1/25/12,0,69
697,USC00519397,1/26/12,0,74
698,USC00519397,1/27/12,0.04,68
699,USC00519397,1/28/12,0.03,72
700,USC00519397,1/29/12,1.03,72
701,USC00519397,1/30/12,0.01,71
702,USC00519397,1/31/12,0,71
703,USC00519397,2/1/12,0,66
704,USC00519397,2/2/12,0,72
705,USC00519397,2/3/12,0,63
706,USC00519397,2/4/12,0,65
707,USC00519397,2/5/12,0,69
708,USC00519397,2/6/12,0,71
709,USC00519397,2/7/12,0.37,71
710,USC00519397,2/8/12,0.28,65
711,USC00519397,2/9/12,0.01,61
712,USC00519397,2/10/12,0,71
713,USC00519397,2/11/12,0,72
714,USC00519397,2/12/12,0,72
715,USC00519397,2/13/12,0.04,72
716,USC00519397,2/14/12,0.01,65
717,USC00519397,2/15/12,0,66
718,USC00519397,2/16/12,0,73
719,USC00519397,2/17/12,0,73
720,USC00519397,2/18/12,0.04,71
721,USC00519397,2/19/12,0.01,72
722,USC00519397,2/20/12,0,73
723,USC00519397,2/21/12,0,72
724,USC00519397,2/22/12,0,73
725,USC00519397,2/23/12,0,77
726,USC00519397,2/24/12,0,67
727,USC00519397,2/25/12,0,69
728,USC00519397,2/26/12,0.05,73
729,USC00519397,2/27/12,0.06,72
730,USC00519397,2/28/12,0,73
731,USC00519397,2/29/12,0,74
732,USC00519397,3/1/12,0.06,73
733,USC00519397,3/2/12,0,67
734,USC00519397,3/3/12,0.03,71
735,USC00519397,3/4/12,0.01,72
736,USC00519397,3/5/12,1.08,67
737,USC00519397,3/6/12,4,69
738,USC00519397,3/7/12,2.42,67
739,USC00519397,3/8/12,0.02,69
740,USC00519397,3/9/12,0.19,66
741,USC00519397,3/10/12,0.06,73
742,USC00519397,3/11/12,0,74
743,USC00519397,3/12/12,0.03,71
744,USC00519397,3/13/12,0,72
745,USC00519397,3/14/12,0,73
746,USC00519397,3/15/12,0,71
747,USC00519397,3/16/12,0.05,72
748,USC00519397,3/17/12,0,73
749,USC00519397,3/18/12,0,72
